site_id	variable	value
barrett_basin	tW	0.903811
barrett_basin	tW	1.781795
barrett_basin	tW	1.543917
barrett_basin	tW	2.497599
barrett_basin	tW	2.254361
barrett_basin	tW	2.105387
barrett_basin	tW	1.214767
barrett_basin	tW	2.110102
barrett_basin	tW	1.117007
barrett_basin	tW	1.600122
barrett_basin	tW	2.035163
barrett_basin	tW	1.852967
barrett_basin	tW	1.741266
barrett_basin	tW	1.620904
barrett_basin	tW	2.843649
barrett_basin	tW	1.652163
barrett_basin	tW	1.629725
barrett_basin	tW	1.265955
barrett_basin	tW	1.205898
barrett_basin	tW	2.25923
barrett_basin	tW	1.655005
barrett_basin	tW	2.588798
barrett_basin	tW	1.62025
barrett_basin	tW	1.679702
barrett_basin	tW	2.694461
barrett_basin	tW	0.344768
barrett_basin	tW	1.893418
barrett_basin	tW	2.224225
barrett_basin	tW	1.295638
barrett_basin	tW	1.197131
barrett_basin	tW	1.140352
barrett_basin	tW	1.268322
barrett_basin	tW	1.033639
barrett_basin	tW	2.001592
barrett_basin	tW	2.1751
barrett_basin	tW	2.614409
barrett_basin	tW	1.194175
barrett_basin	tW	1.758393
barrett_basin	tW	0.661938
barrett_basin	tW	1.400939
barrett_basin	tW	0.92055
barrett_basin	tW	2.27666
barrett_basin	tW	1.530553
barrett_basin	tW	1.987634
barrett_basin	tW	2.058412
barrett_basin	tW	1.097559
barrett_basin	tW	2.26899
barrett_basin	tW	1.286151
barrett_basin	tW	1.163517
barrett_basin	tW	2.526806
barrett_basin	tW	0.996746
barrett_basin	tW	1.523446
barrett_basin	tW	1.075752
barrett_basin	tW	2.41665
barrett_basin	tW	1.890234
barrett_basin	tW	2.061396
barrett_basin	tW	2.572195
barrett_basin	tW	1.281037
barrett_basin	tW	1.503059
barrett_basin	tW	1.900485
barrett_basin	tW	2.406692
barrett_basin	tW	1.895446
barrett_basin	tW	1.674143
barrett_basin	tW	1.980752
barrett_basin	tW	1.861788
barrett_basin	tW	1.711324
barrett_basin	tW	1.8537
barrett_basin	tW	2.156515
barrett_basin	tW	2.22399
barrett_basin	tW	2.194611
barrett_basin	tW	2.40595
barrett_basin	tW	1.389236
barrett_basin	tW	2.026138
barrett_basin	tW	1.396909
barrett_basin	tW	3.155538
barrett_basin	tW	0.716024
barrett_basin	tW	2.286914
barrett_basin	tW	2.206394
barrett_basin	tW	1.386224
barrett_basin	tW	1.94571
barrett_basin	tW	0.670505
barrett_basin	tW	1.645978
barrett_basin	tW	1.054494
barrett_basin	tW	1.297017
barrett_basin	tW	2.085223
barrett_basin	tW	1.43825
barrett_basin	tW	1.853729
barrett_basin	tW	1.321404
barrett_basin	tW	2.466054
barrett_basin	tW	1.364326
barrett_basin	tW	2.26517
barrett_basin	tW	1.893154
barrett_basin	tW	2.658367
barrett_basin	tW	1.864818
barrett_basin	tW	1.230617
barrett_basin	tW	1.62851
barrett_basin	tW	1.537687
barrett_basin	tW	1.350038
barrett_basin	tW	2.431322
barrett_basin	tW	0.360662
barrett_basin	tW	0.608641
barrett_basin	tW	1.613621
barrett_basin	tW	0.571636
barrett_basin	tW	2.005815
barrett_basin	tW	1.326926
barrett_basin	tW	0.904721
barrett_basin	tW	2.104025
barrett_basin	tW	1.404564
barrett_basin	tW	2.882661
barrett_basin	tW	2.03385
barrett_basin	tW	1.281853
barrett_basin	tW	2.221035
barrett_basin	tW	1.126606
barrett_basin	tW	2.179617
barrett_basin	tW	0.845967
barrett_basin	tW	1.273778
barrett_basin	tW	2.5158
barrett_basin	tW	3.633556
barrett_basin	tW	1.390801
barrett_basin	tW	1.372077
barrett_basin	tW	2.164523
barrett_basin	tW	2.074552
barrett_basin	tW	2.293618
barrett_basin	tW	1.33964
barrett_basin	tW	1.036963
barrett_basin	tW	1.923286
barrett_basin	tW	2.129198
barrett_basin	tW	0.879795
barrett_basin	tW	2.196932
barrett_basin	tW	1.990719
barrett_basin	tW	1.958864
barrett_basin	tW	3.309098
barrett_basin	tW	1.390333
barrett_basin	tW	1.332735
barrett_basin	tW	2.000186
barrett_basin	tW	2.93803
barrett_basin	tW	1.312113
barrett_basin	tW	1.918121
barrett_basin	tW	2.005414
barrett_basin	tW	0.407575
barrett_basin	tW	1.18423
barrett_basin	tW	2.546665
barrett_basin	tW	1.928276
barrett_basin	tW	1.266673
barrett_basin	tW	2.507584
barrett_basin	tW	1.735226
barrett_basin	tW	1.293668
barrett_basin	tW	1.419813
barrett_basin	tW	1.206725
barrett_basin	tW	1.374325
barrett_basin	tW	1.506986
barrett_basin	tW	1.3803
barrett_basin	tW	1.563703
barrett_basin	tW	0.816493
barrett_basin	tW	1.199663
barrett_basin	tW	1.429965
cerro_negro	tW	0.092576
cerro_negro	tW	1.199966
cerro_negro	tW	1.155962
cerro_negro	tW	0.154226
cerro_negro	tW	0.568257
cerro_negro	tW	0.578752
cerro_negro	tW	0.584457
cerro_negro	tW	0.074575
cerro_negro	tW	0.953174
cerro_negro	tW	0.268083
cerro_negro	tW	0.846937
cerro_negro	tW	0.310573
cerro_negro	tW	0.433809
cerro_negro	tW	0.416548
cerro_negro	tW	0.679156
cerro_negro	tW	0.576595
cerro_negro	tW	0.892239
cerro_negro	tW	0.355665
cerro_negro	tW	0.729961
cerro_negro	tW	0.074845
cerro_negro	tW	0.897136
cerro_negro	tW	0.831483
cerro_negro	tW	0.545319
cerro_negro	tW	0.531258
cerro_negro	tW	0.61425
cerro_negro	tW	0.093861
cerro_negro	tW	0.387833
cerro_negro	tW	0.302153
cerro_negro	tW	0.984476
cerro_negro	tW	0.663762
cerro_negro	tW	0.339704
cerro_negro	tW	1.146929
cerro_negro	tW	0.546444
cerro_negro	tW	0.928369
cerro_negro	tW	0.884003
cerro_negro	tW	0.089016
cerro_negro	tW	0.683411
cerro_negro	tW	0.044887
cerro_negro	tW	0.834154
cerro_negro	tW	0.037184
cerro_negro	tW	0.292821
cerro_negro	tW	0.328767
cerro_negro	tW	0.369213
cerro_negro	tW	2.250953
cerro_negro	tW	0.069432
cerro_negro	tW	0.576877
cerro_negro	tW	0.312665
cerro_negro	tW	0.805639
cerro_negro	tW	0.535035
cerro_negro	tW	2.018052
cerro_negro	tW	0.311933
cerro_negro	tW	0.361007
cerro_negro	tW	0.626003
cerro_negro	tW	0.267811
cerro_negro	tW	0.382882
cerro_negro	tW	0.117014
cerro_negro	tW	1.193455
cerro_negro	tW	0.077789
cerro_negro	tW	0.047763
cerro_negro	tW	0.852024
cerro_negro	tW	0.536047
cerro_negro	tW	0.281009
cerro_negro	tW	0.324334
cerro_negro	tW	0.369364
cerro_negro	tW	0.826059
cerro_negro	tW	0.681897
cerro_negro	tW	0.182485
cerro_negro	tW	0.489591
cerro_negro	tW	1.684943
cerro_negro	tW	0.616962
cerro_negro	tW	1.371094
cerro_negro	tW	0.347502
cerro_negro	tW	0.3695
cerro_negro	tW	0.535601
cerro_negro	tW	0.052963
cerro_negro	tW	0.535596
cerro_negro	tW	0.225231
cerro_negro	tW	0.851147
cerro_negro	tW	0.417531
cerro_negro	tW	1.222145
cerro_negro	tW	1.8e-4
cerro_negro	tW	0.776701
cerro_negro	tW	0.415001
cerro_negro	tW	0.842242
cerro_negro	tW	0.551971
cerro_negro	tW	1.336588
cerro_negro	tW	0.08061
cerro_negro	tW	0.711326
cerro_negro	tW	0.587293
cerro_negro	tW	0.548145
cerro_negro	tW	0.169386
cerro_negro	tW	0.847966
cerro_negro	tW	0.331111
cerro_negro	tW	1.293304
cerro_negro	tW	0.802737
cerro_negro	tW	1.147062
cerro_negro	tW	0.139377
cerro_negro	tW	0.084123
cerro_negro	tW	0.35841
cerro_negro	tW	0.523621
cerro_negro	tW	0.502591
cerro_negro	tW	0.803526
cerro_negro	tW	1.357248
cerro_negro	tW	0.192851
cerro_negro	tW	0.585549
cerro_negro	tW	0.199652
cerro_negro	tW	0.17971
cerro_negro	tW	0.463589
cerro_negro	tW	0.948258
cerro_negro	tW	0.413656
cerro_negro	tW	0.001909
cerro_negro	tW	0.616088
cerro_negro	tW	0.267859
cerro_negro	tW	0.409971
cerro_negro	tW	3.7e-5
cerro_negro	tW	0.929916
cerro_negro	tW	0.850158
cerro_negro	tW	1.104986
cerro_negro	tW	0.988783
cerro_negro	tW	1.070041
cerro_negro	tW	0.618788
cerro_negro	tW	0.603468
cerro_negro	tW	0.865717
cerro_negro	tW	0.041033
cerro_negro	tW	0.670581
cerro_negro	tW	0.69321
cerro_negro	tW	0.829259
cerro_negro	tW	1.487454
cerro_negro	tW	0.905619
cerro_negro	tW	0.446963
cerro_negro	tW	0.269005
cerro_negro	tW	0.131543
cerro_negro	tW	0.449943
cerro_negro	tW	1.274881
cerro_negro	tW	0.103988
cerro_negro	tW	0.368079
cerro_negro	tW	0.177317
cerro_negro	tW	0.892389
cerro_negro	tW	0.214333
cerro_negro	tW	0.4481
cerro_negro	tW	0.861597
cerro_negro	tW	0.844065
cerro_negro	tW	1.197046
cerro_negro	tW	0.646331
cerro_negro	tW	0.403223
cerro_negro	tW	0.840265
cerro_negro	tW	0.579494
cerro_negro	tW	1.194931
cerro_negro	tW	1.87531
cerro_negro	tW	0.575822
cerro_negro	tW	0.410651
cerro_negro	tW	0.851127
cerro_negro	tW	1.133473
cerro_negro	tW	0.316999
cerro_negro	tW	0.946436
cerro_negro	tW	0.675162
cerro_negro	tW	0.383239
cerro_negro	tW	0.26779
cerro_negro	tW	0.327172
cerro_negro	tW	0.38255
cerro_negro	tW	0.348792
cerro_negro	tW	0.83965
cerro_negro	tW	0.976635
cerro_negro	tW	1.344975
cerro_negro	tW	0.435884
cerro_negro	tW	0.200417
cerro_negro	tW	0.291901
cerro_negro	tW	0.146052
cerro_negro	tW	0.316871
cerro_negro	tW	0.919317
cerro_negro	tW	0.629438
cerro_negro	tW	0.130858
cerro_negro	tW	0.118969
cerro_negro	tW	0.267932
cerro_negro	tW	0.282303
cerro_negro	tW	1.387025
cerro_negro	tW	0.575785
cerro_negro	tW	0.309636
cerro_negro	tW	0.26843
cerro_negro	tW	0.614042
cerro_negro	tW	0.687243
cerro_negro	tW	0.097817
cerro_negro	tW	0.267788
cerro_negro	tW	0.445021
cerro_negro	tW	0
cerro_negro	tW	0.256396
conness_pond	tW	1.969223
conness_pond	tW	1.577502
conness_pond	tW	1.952308
conness_pond	tW	0.535572
conness_pond	tW	1.916946
conness_pond	tW	2.244784
conness_pond	tW	0.9611
conness_pond	tW	1.275961
conness_pond	tW	0.839765
conness_pond	tW	1.25274
conness_pond	tW	1.141949
conness_pond	tW	1.368062
conness_pond	tW	0.792546
conness_pond	tW	1.041033
conness_pond	tW	2.068574
conness_pond	tW	1.101408
conness_pond	tW	2.102854
conness_pond	tW	1.819733
conness_pond	tW	1.350346
conness_pond	tW	1.225601
conness_pond	tW	0.835064
conness_pond	tW	0.409903
conness_pond	tW	2.346189
conness_pond	tW	1.17936
conness_pond	tW	1.329054
conness_pond	tW	0.409558
conness_pond	tW	0.803384
conness_pond	tW	1.094721
conness_pond	tW	1.852943
conness_pond	tW	0.68495
conness_pond	tW	1.367251
conness_pond	tW	1.809662
conness_pond	tW	1.433133
conness_pond	tW	0.922112
conness_pond	tW	0.947942
conness_pond	tW	1.354312
conness_pond	tW	1.187213
conness_pond	tW	0.72479
conness_pond	tW	0.280012
conness_pond	tW	1.085475
conness_pond	tW	1.194901
conness_pond	tW	0.955048
conness_pond	tW	3.17344
conness_pond	tW	1.151065
conness_pond	tW	1.648898
conness_pond	tW	0.464971
conness_pond	tW	0.839554
conness_pond	tW	0.799975
conness_pond	tW	2.396693
conness_pond	tW	0.083234
conness_pond	tW	0.509986
conness_pond	tW	1.874902
conness_pond	tW	0.525351
conness_pond	tW	1.224825
conness_pond	tW	1.771673
conness_pond	tW	1.33642
conness_pond	tW	0.795244
conness_pond	tW	2.251445
conness_pond	tW	1.512658
conness_pond	tW	0.662388
conness_pond	tW	1.267185
conness_pond	tW	1.322318
conness_pond	tW	1.536581
conness_pond	tW	1.685519
conness_pond	tW	1.372083
conness_pond	tW	0.660889
conness_pond	tW	1.611199
conness_pond	tW	2.105382
conness_pond	tW	1.150132
conness_pond	tW	1.363317
conness_pond	tW	1.275682
conness_pond	tW	0.787959
conness_pond	tW	1.604717
conness_pond	tW	1.623655
conness_pond	tW	0.88348
conness_pond	tW	0.84412
conness_pond	tW	2.284946
conness_pond	tW	1.799907
conness_pond	tW	1.945628
conness_pond	tW	0.267822
conness_pond	tW	1.926146
conness_pond	tW	1.027489
conness_pond	tW	1.323412
conness_pond	tW	1.07388
conness_pond	tW	1.416743
conness_pond	tW	0.470123
conness_pond	tW	0.752175
conness_pond	tW	1.607706
conness_pond	tW	1.871784
